idclientecrm,Status Cliente
10413105,Cancelado
10413106,Vigente
10413107,Vigente
10413119,Cancelado
10413128,Cancelado
10413137,Vigente
10413157,Vigente
10413197,Vigente
10413245,Vigente
10413250,Vigente
10413266,Cancelado
10413267,Vigente
10413270,Vigente
10413271,Vigente
10413284,Vigente
10413287,Cancelado
10413295,Vigente
10413297,Cancelado
10413300,Vigente
10413301,Vigente
10413314,Vigente
10413342,Vigente
10413344,Vigente
10413345,Cancelado
10413347,Vigente
10413356,Cancelado
10413357,Vigente
10413358,Vigente
10413367,Vigente
10413373,Cancelado
10413386,Cancelado
10413389,Vigente
10413401,Vigente
10413406,Cancelado
10413416,Cancelado
10413417,Cancelado
10413421,Vigente
10413439,Cancelado
10413444,Vigente
10413447,Vigente
10413461,Vigente
10413477,Cancelado
10413478,Vigente
10413482,Vigente
10413492,Vigente
10413493,Cancelado
10413500,Vigente
10413501,Vigente
10413502,Vigente
10413507,Cancelado
10413512,Cancelado
10413517,Cancelado
10413540,Cancelado
10413543,Vigente
10413562,Cancelado
10413569,Vigente
10413589,Cancelado
10413592,Vigente
10413596,Cancelado
10413600,Cancelado
10413606,Cancelado
10413614,Vigente
10413616,Vigente
10413618,Vigente
10413623,Vigente
10413634,Cancelado
10413637,Cancelado
10413703,Cancelado
10413708,Vigente
10413710,Vigente
10413720,Vigente
10413730,Cancelado
10413743,Cancelado
10413744,Cancelado
10413745,Vigente
10413760,Vigente
10413761,Vigente
10413770,Cancelado
10413779,Vigente
10413782,Vigente
10413787,Vigente
10413795,Cancelado
10413804,Vigente
10413807,Vigente
10413816,Cancelado
10413824,Vigente
10413838,Vigente
10413861,Vigente
10413872,Cancelado
10413882,Cancelado
10413885,Cancelado
10413892,Cancelado
10413894,Vigente
10413909,Vigente
10413948,Vigente
10413953,Vigente
10413964,Cancelado
10413966,Cancelado
10413967,Vigente
10413970,Vigente
10413981,Vigente
10413983,Vigente
10413987,Vigente
10413990,Vigente
10413996,Vigente
10413998,Vigente
10414011,Vigente
10414014,Cancelado
10414015,Vigente
10414020,Vigente
10414027,Vigente
10414034,Vigente
10414035,Cancelado
10414037,Vigente
10414041,Cancelado
10414070,Vigente
10414075,Cancelado
10414080,Cancelado
10414085,Cancelado
10414086,Vigente
10414088,Vigente
10414115,Vigente
10414120,Vigente
10414122,Cancelado
10414129,Vigente
10414148,Vigente
10414156,Cancelado
10414163,Cancelado
10414189,Vigente
10414192,Vigente
10414193,Vigente
10414196,Cancelado
10414207,Vigente
10414208,Cancelado
10414223,Vigente
10414227,Vigente
10414239,Cancelado
10414240,Vigente
10414260,Cancelado
10414269,Cancelado
10414276,Cancelado
10414287,Vigente
10414289,Vigente
10414298,Vigente
10414304,Cancelado
10414305,Vigente
10414307,Vigente
10414312,Vigente
10414317,Vigente
10414327,Cancelado
10414336,Vigente
10414338,Vigente
10414340,Vigente
10414346,Cancelado
10414348,Vigente
10414351,Vigente
10414354,Vigente
10414365,Cancelado
10414366,Vigente
10414378,Vigente
10414379,Vigente
10414384,Cancelado
10414392,Vigente
10414393,Cancelado
10414395,Cancelado
10414401,Vigente
10414411,Vigente
10414418,Vigente
10414420,Cancelado
10414424,Vigente
10414430,Cancelado
10414431,Vigente
10414436,Vigente
10414438,Vigente
10414442,Cancelado
10414443,Cancelado
10414445,Cancelado
10414449,Vigente
10414455,Cancelado
10414458,Vigente
10414467,Cancelado
10414471,Vigente
10414475,Vigente
10414481,Cancelado
10414483,Vigente
10414497,Vigente
10414512,Vigente
10414513,Cancelado
10414514,Vigente
10414517,Cancelado
10414522,Cancelado
10414525,Cancelado
10414532,Cancelado
10414551,Vigente
10414552,Cancelado
10414577,Vigente
10414580,Vigente
10414584,Vigente
10414605,Cancelado
10414613,Cancelado
10414639,Vigente
10414647,Vigente
10414650,Cancelado
10414659,Vigente
10414709,Vigente
10414739,Cancelado
10414744,Vigente
10414748,Vigente
10414760,Vigente
10414782,Vigente
10414791,Cancelado
10414798,Vigente
10414802,Vigente
10414811,Vigente
10414812,Cancelado
10414816,Vigente
10414818,Cancelado
10414822,Vigente
10414824,Vigente
10414836,Vigente
10414843,Vigente
10414854,Vigente
10414858,Vigente
10414864,Vigente
10414866,Vigente
10414894,Vigente
10414902,Cancelado
10414907,Vigente
10414917,Vigente
10414921,Vigente
10414928,Cancelado
10414931,Cancelado
10414932,Vigente
10414940,Vigente
10414943,Vigente
10414960,Vigente
10414982,Cancelado
10414984,Vigente
10414993,Vigente
10415003,Cancelado
10415008,Vigente
10415012,Vigente
10415015,Vigente
10415018,Vigente
10415028,Cancelado
10415030,Vigente
10415034,Cancelado
10415036,Cancelado
10415041,Vigente
10415042,Vigente
10415048,Cancelado
10415050,Cancelado
10415055,Cancelado
10415063,Cancelado
10415064,Vigente
10415066,Vigente
10415082,Cancelado
10415083,Cancelado
10415092,Vigente
10415101,Cancelado
10415111,Vigente
10415112,Vigente
10415114,Vigente
10415115,Vigente
10415117,Cancelado
10415134,Vigente
10415158,Vigente
10415163,Cancelado
10415169,Cancelado
10415170,Cancelado
10415173,Cancelado
10415190,Vigente
10415192,Vigente
10415195,Vigente
10415198,Vigente
10415208,Cancelado
10415215,Vigente
10415220,Vigente
10415221,Vigente
10415223,Cancelado
10415225,Vigente
10415227,Cancelado
10415228,Vigente
10415231,Cancelado
10415237,Vigente
10415245,Cancelado
10415246,Cancelado
10415251,Vigente
10415252,Cancelado
10415255,Vigente
10415270,Cancelado
10415271,Cancelado
10415300,Vigente
10415301,Vigente
10415302,Vigente
10415313,Vigente
10415314,Vigente
10415316,Vigente
10415324,Vigente
10415334,Cancelado
10415335,Cancelado
10415336,Vigente
10415346,Vigente
10415357,Vigente
10415363,Vigente
10415371,Cancelado
10415376,Vigente
10415378,Cancelado
10415397,Vigente
10415414,Vigente
10415416,Vigente
10415417,Vigente
10415424,Cancelado
10415433,Vigente
10415437,Vigente
10415449,Cancelado
10415455,Vigente
10415461,Vigente
10415483,Vigente
10415488,Vigente
10415503,Vigente
10415504,Cancelado
10415506,Vigente
10415509,Vigente
10415518,Cancelado
10415522,Vigente
10415526,Vigente
10415534,Vigente
10415536,Cancelado
10415537,Vigente
10415543,Vigente
10415545,Vigente
10415546,Vigente
10415557,Vigente
10415558,Vigente
10415571,Vigente
10415572,Vigente
10415575,Cancelado
10415576,Cancelado
10415577,Vigente
10415579,Vigente
10415590,Vigente
10415594,Cancelado
10415614,Cancelado
10415617,Vigente
10415618,Vigente
10415620,Vigente
10415621,Vigente
10415624,Vigente
10415627,Vigente
10415629,Cancelado
10415637,Vigente
10415639,Vigente
10415642,Vigente
10415644,Cancelado
10415646,Vigente
10415652,Vigente
10415653,Vigente
10415654,Vigente
10415663,Cancelado
10415671,Cancelado
10415672,Vigente
10415690,Vigente
10415694,Cancelado
10415696,Cancelado
10415719,Vigente
10415732,Cancelado
10415733,Vigente
10415744,Vigente
10415753,Vigente
10415758,Vigente
10415761,Vigente
10415763,Cancelado
10415767,Cancelado
10415779,Vigente
10415783,Cancelado
10415787,Vigente
10415809,Cancelado
10415834,Cancelado
10415835,Vigente
10415846,Vigente
10415879,Vigente
10415885,Vigente
10415891,Vigente
10415899,Vigente
10415900,Vigente
10415906,Vigente
10415921,Vigente
10415925,Cancelado
10415931,Vigente
10415935,Vigente
10415940,Vigente
10415946,Cancelado
10415949,Vigente
10415958,Vigente
10415966,Vigente
10415968,Cancelado
10415970,Vigente
10415976,Vigente
10415981,Vigente
10415985,Vigente
10415986,Vigente
10415987,Vigente
10415990,Vigente
10415992,Vigente
10416010,Vigente
10416025,Vigente
10416026,Vigente
10416032,Cancelado
10416033,Cancelado
10416036,Vigente
10416041,Vigente
10416056,Vigente
10416064,Vigente
10416074,Cancelado
10416086,Vigente
10416094,Cancelado
10416095,Cancelado
10416101,Cancelado
10416120,Vigente
10416121,Vigente
10416126,Cancelado
10416144,Cancelado
10416149,Vigente
10416162,Vigente
10416166,Cancelado
10416180,Vigente
10416206,Vigente
10416209,Cancelado
10416211,Vigente
10416220,Vigente
10416221,Cancelado
10416232,Cancelado
10416249,Vigente
10416250,Vigente
10416255,Cancelado
10416258,Cancelado
10416263,Cancelado
10416267,Vigente
10416275,Vigente
10416277,Cancelado
10416284,Vigente
10416289,Vigente
10416291,Cancelado
10416294,Vigente
10416298,Cancelado
10416302,Cancelado
10416307,Vigente
10416326,Cancelado
10416346,Cancelado
10416349,Vigente
10416353,Cancelado
10416358,Cancelado
10416369,Vigente
10416372,Cancelado
10416377,Cancelado
10416382,Vigente
10416395,Cancelado
10416398,Vigente
10416399,Vigente
10416410,Vigente
10416412,Vigente
10416423,Cancelado
10416429,Cancelado
10416436,Cancelado
10416440,Cancelado
10416451,Vigente
10416452,Cancelado
10416456,Cancelado
10416457,Vigente
10416460,Cancelado
10416464,Vigente
10416466,Vigente
10416468,Cancelado
10416470,Cancelado
10416474,Vigente
10416479,Cancelado
10416484,Cancelado
10416487,Cancelado
10416496,Cancelado
10416503,Vigente
10416504,Cancelado
10416523,Vigente
10416525,Vigente
10416530,Vigente
10416532,Cancelado
10416536,Vigente
10416542,Cancelado
10416544,Cancelado
10416549,Cancelado
10416564,Vigente
10416570,Vigente
10416575,Vigente
10416577,Cancelado
10416588,Vigente
10416600,Cancelado
10416605,Vigente
10416612,Vigente
10416620,Vigente
10416624,Cancelado
10416643,Vigente
10416645,Vigente
10416646,Cancelado
10416648,Cancelado
10416649,Cancelado
10416650,Vigente
10416659,Cancelado
10416665,Cancelado
10416689,Vigente
10416694,Cancelado
10416695,Vigente
10416696,Cancelado
10416698,Cancelado
10416706,Vigente
10416709,Vigente
10416710,Vigente
10416722,Cancelado
10416724,Cancelado
10416732,Vigente
10416739,Cancelado
10416746,Cancelado
10416748,Cancelado
10416750,Vigente
10416760,Vigente
10416773,Vigente
10416777,Cancelado
10416779,Vigente
10416781,Vigente
10416794,Cancelado
10416797,Vigente
10416800,Vigente
10416801,Vigente
10416803,Vigente
10416806,Cancelado
10416807,Vigente
10416811,Cancelado
10416813,Vigente
10416817,Cancelado
10416845,Vigente
10416853,Cancelado
10416854,Vigente
10416857,Cancelado
10416863,Vigente
10416871,Cancelado
10416874,Vigente
10416879,Cancelado
10416882,Cancelado
10416883,Vigente
10416901,Cancelado
10416924,Cancelado
10416930,Cancelado
10416931,Cancelado
10416932,Cancelado
10416934,Cancelado
10416937,Cancelado
10416950,Vigente
10416951,Vigente
10416958,Vigente
10416959,Cancelado
10416964,Vigente
10416976,Cancelado
10416979,Vigente
10416982,Vigente
10416993,Vigente
10417003,Vigente
10417007,Vigente
10417011,Cancelado
10417012,Cancelado
10417024,Vigente
10417045,Vigente
10417055,Vigente
10417061,Vigente
10417063,Cancelado
10417064,Cancelado
10417070,Cancelado
10417076,Cancelado
10417080,Cancelado
10417089,Vigente
10417116,Vigente
10417119,Vigente
10417133,Vigente
10417153,Vigente
10417159,Vigente
10417165,Vigente
10417168,Cancelado
10417169,Cancelado
10417176,Vigente
10417184,Cancelado
10417193,Vigente
10417195,Vigente
10417206,Cancelado
10417207,Cancelado
10417230,Cancelado
10417237,Cancelado
10417242,Cancelado
10417246,Vigente
10417251,Vigente
10417254,Vigente
10417257,Vigente
10417267,Vigente
10417268,Vigente
10417278,Vigente
10417287,Vigente
10417289,Vigente
10417290,Vigente
10417291,Vigente
10417293,Cancelado
10417305,Cancelado
10417310,Cancelado
10417316,Vigente
10417318,Vigente
10417327,Vigente
10417330,Vigente
10417340,Vigente
10417346,Vigente
10417349,Cancelado
10417350,Vigente
10417354,Vigente
10417355,Vigente
10417362,Vigente
10417367,Cancelado
10417372,Vigente
10417375,Vigente
10417377,Cancelado
10417379,Vigente
10417382,Vigente
10417385,Vigente
10417386,Cancelado
10417407,Cancelado
10417414,Cancelado
10417415,Cancelado
10417422,Vigente
10417426,Cancelado
10417428,Vigente
10417429,Vigente
10417438,Vigente
10417439,Vigente
10417441,Vigente
10417442,Cancelado
10417447,Cancelado
10417450,Cancelado
10417455,Vigente
10417460,Vigente
10417465,Vigente
10417466,Vigente
10417470,Vigente
10417472,Vigente
10417478,Vigente
10417479,Cancelado
10417481,Vigente
10417483,Vigente
10417484,Vigente
10417487,Vigente
10417489,Vigente
10417490,Cancelado
10417492,Vigente
10417493,Vigente
10417504,Vigente
10417506,Cancelado
10417517,Cancelado
10417519,Cancelado
10417524,Vigente
10417528,Cancelado
10417544,Cancelado
10417548,Vigente
10417549,Vigente
10417551,Vigente
10417554,Vigente
10417561,Cancelado
10417562,Cancelado
10417571,Vigente
10417573,Cancelado
10417574,Cancelado
10417577,Cancelado
10417579,Cancelado
10417585,Vigente
10417586,Cancelado
10417593,Vigente
10417602,Cancelado
10417603,Vigente
10417604,Cancelado
10417605,Vigente
10417606,Cancelado
10417607,Cancelado
10417608,Cancelado
10417609,Vigente
10417612,Cancelado
10417619,Vigente
10417622,Vigente
10417628,Cancelado
10417630,Cancelado
10417641,Cancelado
10417658,Vigente
10417663,Vigente
10417666,Cancelado
10417667,Vigente
10417669,Vigente
10417673,Cancelado
10417680,Cancelado
10417684,Vigente
10417686,Vigente
10417687,Vigente
10417691,Cancelado
10417693,Cancelado
10417696,Cancelado
10417703,Cancelado
10417705,Vigente
10417709,Cancelado
10417710,Vigente
10417716,Vigente
10417720,Cancelado
10417721,Cancelado
10417726,Vigente
10417734,Cancelado
10417736,Cancelado
10417737,Vigente
10417738,Cancelado
10417739,Vigente
10417741,Vigente
10417749,Cancelado
10417751,Vigente
10417752,Cancelado
10417755,Cancelado
10417757,Vigente
10417759,Vigente
10417764,Vigente
10417768,Vigente
10417770,Cancelado
10417773,Vigente
10417774,Cancelado
10417775,Vigente
10417776,Cancelado
10417777,Cancelado
10417778,Vigente
10417781,Cancelado
10417783,Vigente
10417788,Cancelado
10417791,Vigente
10417793,Vigente
10417794,Vigente
10417795,Vigente
10417796,Vigente
10417799,Cancelado
10417801,Cancelado
10417805,Cancelado
10417808,Vigente
10417812,Vigente
10417822,Vigente
10417823,Cancelado
10417827,Cancelado
10417828,Vigente
10417830,Cancelado
10417834,Vigente
10417836,Vigente
10417838,Cancelado
10417840,Cancelado
10417846,Cancelado
10417847,Vigente
10417851,Cancelado
10417852,Cancelado
10417854,Cancelado
10417855,Vigente
10417856,Vigente
10417861,Cancelado
10417862,Cancelado
10417865,Cancelado
10417866,Vigente
10417868,Cancelado
10417870,Vigente
10417872,Vigente
10417877,Vigente
10417884,Vigente
10417885,Vigente
10417892,Cancelado
10417896,Cancelado
10417898,Vigente
10417899,Vigente
10417900,Cancelado
10417901,Cancelado
10417902,Vigente
10417903,Vigente
10417904,Vigente
10417905,Cancelado
10417913,Cancelado
10417915,Vigente
10417916,Cancelado
10417919,Vigente
10417920,Vigente
10417922,Cancelado
10433857,Vigente
10434084,Vigente
10434543,Cancelado
10434627,Cancelado
10435021,Vigente
10435024,Vigente
10435035,Vigente
10435230,Vigente
10435297,Vigente
10435310,Vigente
10435422,Vigente
10435431,Vigente
10435495,Vigente
10435525,Vigente
10435563,Vigente
10435580,Vigente
10435586,Vigente
10435622,Cancelado
10435648,Vigente
10435655,Vigente
10435715,Vigente
10435734,Vigente
10435801,Cancelado
10435861,Vigente
10435885,Vigente
10435911,Vigente
10435917,Cancelado
10435972,Vigente
10436026,Vigente
10436062,Vigente
10436107,Vigente
10436171,Cancelado
10436367,Vigente
10436371,Cancelado
10436656,Vigente
10436669,Cancelado
10436779,Vigente
10436842,Vigente
10436849,Cancelado
10436857,Cancelado
10436908,Vigente
10436983,Vigente
10437282,Cancelado
10437303,Cancelado
10437548,Vigente
10437567,Vigente
10437651,Vigente
10437757,Vigente
10437836,Vigente
10437946,Cancelado
10438085,Vigente
10438243,Vigente
10438280,Vigente
10438284,Vigente
10438286,Vigente
10438302,Vigente
10438321,Vigente
10438403,Cancelado
10438420,Vigente
10438612,Vigente
10438646,Cancelado
10438696,Vigente
10438779,Vigente
10438949,Vigente
10438968,Vigente
10439009,Cancelado
10439072,Cancelado
10439155,Vigente
10439171,Vigente
10439232,Vigente
10439258,Vigente
10439282,Vigente
10439410,Vigente
10439424,Cancelado
10439441,Vigente
10439489,Cancelado
10439504,Cancelado
10439644,Vigente
10439808,Cancelado
10439931,Cancelado
10439959,Cancelado
10439982,Vigente
10440038,Vigente
10440071,Vigente
10440202,Vigente
10440215,Vigente
10440247,Vigente
10440259,Vigente
10440337,Cancelado
10440357,Vigente
10440456,Cancelado
10440545,Vigente
10442490,Vigente
10443592,Vigente
10443778,Vigente
10443811,Vigente
10443849,Vigente
10444050,Vigente
10444174,Vigente
10444176,Vigente
10444609,Vigente
10444648,Cancelado
10445110,Cancelado
10445379,Vigente
10445431,Cancelado
10445483,Cancelado
10445612,Vigente
10445635,Vigente
10445650,Vigente
10445700,Vigente
10445712,Cancelado
10445816,Vigente
10445970,Cancelado
10446038,Cancelado
10446322,Vigente
10446342,Vigente
10446344,Vigente
10446359,Vigente
10446370,Vigente
10446409,Cancelado
10446465,Vigente
10446509,Vigente
10446621,Cancelado
10446755,Cancelado
10446759,Cancelado
10446766,Cancelado
10446770,Vigente
10446798,Cancelado
10447194,Cancelado
10447236,Cancelado
10447248,Vigente
10447313,Vigente
10447536,Vigente
10447632,Cancelado
10447680,Cancelado
10447696,Vigente
10447738,Vigente
10447797,Vigente
10447830,Cancelado
10447903,Cancelado
10447963,Vigente
10447979,Cancelado
10448064,Vigente
10448086,Vigente
10448088,Vigente
10448147,Vigente
10448242,Cancelado
10448295,Cancelado
10448309,Vigente
10448344,Cancelado
10448381,Vigente
10448385,Vigente
10448397,Vigente
10448522,Vigente
10448552,Vigente
10448749,Vigente
10448780,Vigente
10448865,Cancelado
10449261,Cancelado
10449479,Vigente
10449572,Cancelado
10449600,Vigente
10449609,Cancelado
10449625,Cancelado
10449649,Cancelado
10449769,Cancelado
10449835,Cancelado
10450081,Vigente
10450155,Vigente
10450265,Cancelado
10450697,Cancelado
10450713,Cancelado
10450788,Vigente
10451025,Vigente
10451463,Vigente
10451469,Vigente
10451474,Vigente
10451594,Vigente
10451684,Vigente
10451913,Vigente
10452020,Vigente
10452132,Vigente
10452150,Cancelado
10452191,Vigente
10452266,Vigente
10452267,Vigente
10452355,Vigente
10452505,Cancelado
10452641,Vigente
10452788,Cancelado
10452925,Vigente
10453285,Vigente
10453385,Vigente
10453389,Vigente
10453492,Cancelado
10453494,Vigente
10453524,Vigente
10453651,Cancelado
10453751,Vigente
10453802,Cancelado
10453899,Vigente
10453917,Vigente
10454132,Vigente
10454295,Vigente
10454571,Vigente
10454584,Cancelado
10454641,Cancelado
10454772,Cancelado
10454849,Cancelado
10454877,Vigente
10454974,Vigente
10455015,Cancelado
10455282,Vigente
10455362,Vigente
10455378,Vigente
10455833,Cancelado
10456138,Vigente
10456295,Cancelado
10456376,Vigente
10456415,Cancelado
10456491,Vigente
10456572,Vigente
10456952,Cancelado
10456992,Vigente
10457015,Cancelado
10457049,Cancelado
10457135,Cancelado
10457169,Vigente
10457202,Vigente
10457249,Cancelado
10457346,Vigente
10457370,Vigente
10457538,Vigente
10457672,Vigente
10457719,Vigente
10457777,Vigente
